,Symbol,Company Name,Last Price,Change,% Change,Volume
0,1015.KL,AMMB Holdings Bhd,3.66,0.0,0.00%,779500
1,1155.KL,Malayan Banking Bhd,8.7,0.01,+0.12%,1970400
2,5183.KL,Petronas Chemicals Group Bhd,7.2,-0.01,-0.14%,6265700
3,5285.KL,Sime Darby Plantation Bhd,4.31,0.01,+0.23%,650100
4,4707.KL,Nestle Malaysia Bhd,134.6,-0.4,-0.30%,58100
5,5819.KL,Hong Leong Bank Bhd,20.28,0.06,+0.30%,179000
6,5347.KL,Tenaga Nasional Bhd,8.9,0.03,+0.34%,2382000
7,7084.KL,QL Resources Bhd,5.75,-0.02,-0.35%,541700
8,1066.KL,RHB Bank Bhd,5.51,0.02,+0.36%,4435300
9,2445.KL,Kuala Lumpur Kepong Bhd,21.44,-0.08,-0.37%,81100
10,3182.KL,Genting Bhd,4.67,-0.02,-0.43%,1324900
11,4197.KL,Sime Darby Bhd,2.15,0.01,+0.47%,3415500
12,1023.KL,CIMB Group Holdings Bhd,5.19,-0.03,-0.57%,10528900
13,5296.KL,Mr D.I.Y. Group (M) Bhd,1.61,-0.01,-0.62%,5703800
14,6888.KL,Axiata Group Bhd,3.0,-0.02,-0.66%,3932100
15,1082.KL,Hong Leong Financial Group Bhd,18.2,0.12,+0.66%,169000
16,4715.KL,Genting Malaysia Bhd,2.67,0.02,+0.75%,5905100
17,4863.KL,Telekom Malaysia Bhd,4.93,-0.04,-0.80%,431900
18,4065.KL,PPB Group Bhd,16.16,-0.14,-0.86%,164100
19,7277.KL,Dialog Group Bhd,2.28,-0.02,-0.87%,1303100
20,6033.KL,Petronas Gas Bhd,16.76,-0.16,-0.95%,126600
21,3816.KL,MISC Bhd,7.32,0.07,+0.97%,240700
22,5681.KL,Petronas Dagangan Bhd,22.12,0.22,+1.00%,90500
23,1295.KL,Public Bank Bhd,3.93,-0.04,-1.01%,17022100
24,1961.KL,IOI Corp Bhd,3.81,-0.04,-1.04%,569700
25,6947.KL,Digi.com Bhd,4.38,-0.05,-1.13%,1130100
26,6012.KL,Maxis Bhd,4.34,0.05,+1.17%,2083600
27,0166.KL,Inari Amertron Bhd,2.31,-0.04,-1.70%,2403000
28,5225.KL,IHH Healthcare Bhd,5.73,-0.12,-2.05%,3851500
29,8869.KL,Press Metal Aluminium Holdings Bhd,5.2,0.15,+2.97%,2248100
